epoch,train_loss,val_loss,spearman_rho,pred_std
1,0.056410771862334674,0.010592019534451986,0.5729019848681437,0.08800020813941956
2,0.013175231075783571,0.009290585354238398,0.6339540313442178,0.08723745495080948
3,0.012052101841403378,0.008995830159573608,0.6567047596405483,0.09207408130168915
4,0.01138019953833686,0.00865968882943464,0.6661366941030635,0.08974019438028336
5,0.010823213604589304,0.008606049476778427,0.6715870781848059,0.08872222900390625
6,0.010341713093552325,0.008497702536008608,0.6764928173290798,0.09139014780521393
7,0.010078449112342463,0.008700166238420582,0.680338804022061,0.0904107391834259
8,0.009881768653955724,0.008406089831903413,0.6844575399974504,0.09258212149143219
9,0.009569348477075497,0.008219042647778351,0.6849472164519639,0.09207320958375931
10,0.009472296435799863,0.008234604003280799,0.6868126939827579,0.09016647934913635
11,0.00925040037052499,0.008174594100370537,0.686686698773022,0.09078899770975113
12,0.00915522108938959,0.008162464265878652,0.6900440429446687,0.09113452583551407
13,0.008959383534474506,0.008258103303769611,0.69041921247277,0.09048591554164886
14,0.008840282649629647,0.008173038101083167,0.691137492882474,0.09128257632255554
15,0.008688515226046245,0.008215100154682966,0.6909286748155811,0.09060076624155045
16,0.008557092747423384,0.008197250394352264,0.6924610376944967,0.0918605849146843
17,0.008436748957633973,0.00818986019960574,0.6935520403967086,0.09286070615053177
18,0.008354210647112793,0.008100269744095518,0.6919981768368323,0.08975359052419662
19,0.00812995081163115,0.00819551143959559,0.6926690121879435,0.09310616552829742
20,0.008059172182199028,0.008262320853315694,0.6931647421274609,0.09083885699510574
21,0.007898771894309256,0.008164812103202638,0.6929029545039763,0.09468470513820648
22,0.007757341018650267,0.008103398206491651,0.693184875088039,0.09234384447336197
23,0.007728204510278172,0.00822912450840976,0.6946042171070016,0.09366612136363983
24,0.007644243260390229,0.008144623770228412,0.6921447229268691,0.09247583895921707
25,0.007430697498222192,0.008152020541118073,0.6913739625241012,0.09173962473869324
26,0.00723782340263327,0.008126614711540399,0.6900828006723984,0.09060028195381165
27,0.007228206722107199,0.00822554178627054,0.6880765436624563,0.09274699538946152
28,0.007144433784319295,0.008232634221555889,0.6899830243367697,0.09330213069915771
29,0.006999456837276618,0.008132822673560679,0.6935905617332526,0.09701163321733475
30,0.0068475456916623646,0.008153291678181095,0.6914220594683173,0.09495867788791656
31,0.006802889092432128,0.008123482339132942,0.6908170864710722,0.09382448345422745
32,0.006714712224238448,0.008223858784184166,0.6872884232636121,0.09277352690696716
33,0.006639697504043579,0.008261970669803885,0.6852739388083461,0.09358115494251251
34,0.0065276767218278514,0.008270468655575352,0.6846761139257312,0.093602254986763
35,0.006439336821519666,0.008250012519313543,0.6884437348314488,0.09406151622533798
36,0.006363627871125936,0.008326403091148047,0.6867974593946136,0.09619610011577606
37,0.00629396772765451,0.008240954596693663,0.6869641482797603,0.09475947916507721
38,0.0062207509306569896,0.0082781473620312,0.6884834139661555,0.09804913401603699
