trial_id,hidden_dims,dropout_rate,lr,weight_decay,batch_size,mean_val_mse,std_val_mse,mean_val_rho,std_val_rho
0,"(16,)",0.460669,1.60e-04,1.21e-05,32,0.009210,0.000324,0.597571,0.004589
4,"(32, 16)",0.144730,4.75e-04,1.23e-02,128,0.008076,0.000072,0.634280,0.003316
5,"(256, 64)",0.138135,3.38e-05,2.00e-04,128,0.007961,0.000069,0.640397,0.004043
6,"(128, 32)",0.115251,1.53e-05,1.34e-05,256,0.008278,0.000111,0.622740,0.004413
7,"(256, 128, 32)",0.584872,1.19e-04,3.06e-02,128,0.008120,0.000072,0.643420,0.002732
8,"(16,)",0.104171,7.37e-05,4.67e-04,256,0.008807,0.000103,0.596233,0.003551
9,"(128, 32)",0.280527,3.05e-05,1.40e-05,32,0.007930,0.000086,0.642377,0.004109
10,"(128, 32)",0.242583,1.73e-04,2.96e-04,64,0.007909,0.000093,0.643225,0.004412
11,"(32,)",0.235897,1.25e-04,4.98e-05,128,0.008288,0.000107,0.625453,0.003510
12,"(32, 16)",0.417790,2.58e-05,2.36e-05,64,0.008628,0.000142,0.621863,0.001088
13,"(128, 64, 16)",0.297804,4.13e-04,3.62e-03,64,0.007933,0.000091,0.643730,0.002568
14,"(128, 32)",0.292316,4.45e-05,1.16e-04,32,0.007930,0.000093,0.642221,0.004174
15,"(128, 32)",0.344335,2.27e-04,1.48e-04,64,0.007946,0.000071,0.641900,0.003186
16,"(16, 8)",0.513644,5.55e-05,1.28e-03,32,0.009965,0.000325,0.593972,0.005698
17,"(128, 32)",0.244485,6.58e-05,9.48e-05,64,0.007917,0.000097,0.642521,0.004129
18,"(128, 32)",0.220396,7.96e-05,1.14e-03,64,0.007911,0.000100,0.642772,0.004269
19,"(256, 128, 32)",0.202797,2.42e-04,1.67e-03,64,0.007918,0.000075,0.643788,0.003636
20,"(32,)",0.364317,1.04e-04,5.02e-03,64,0.008339,0.000086,0.622524,0.003149
21,"(128, 64, 16)",0.187902,2.27e-04,5.43e-04,64,0.007908,0.000085,0.643369,0.003680
22,"(128, 64, 16)",0.642319,2.24e-04,4.66e-04,64,0.008554,0.000124,0.631317,0.002577
23,"(128, 64, 16)",0.179510,3.35e-04,8.11e-02,256,0.007901,0.000070,0.643801,0.003268
24,"(128, 64, 16)",0.172741,2.76e-04,2.30e-02,256,0.007909,0.000071,0.643029,0.004006
25,"(128, 64, 16)",0.182967,3.42e-04,4.99e-04,256,0.007913,0.000083,0.642584,0.003696
26,"(128, 64, 16)",0.336055,1.62e-04,6.18e-02,256,0.007928,0.000092,0.643220,0.003606
27,"(16, 8)",0.259695,1.74e-04,3.62e-03,256,0.008805,0.000102,0.609934,0.003137
28,"(256, 64)",0.172153,3.50e-04,2.71e-04,64,0.007922,0.000103,0.642828,0.004666
29,"(128, 64, 16)",0.381857,3.27e-04,5.64e-05,64,0.007981,0.000083,0.642520,0.002058
30,"(128, 64, 16)",0.205331,2.09e-04,8.45e-02,256,0.007902,0.000098,0.643694,0.004087
31,"(128, 64, 16)",0.321847,4.93e-04,8.65e-02,256,0.007900,0.000080,0.645245,0.002336
32,"(16,)",0.447917,4.88e-04,9.45e-02,256,0.009216,0.000081,0.583074,0.001781
33,"(128, 64, 16)",0.313920,3.06e-04,3.63e-02,256,0.007927,0.000086,0.643338,0.002571
34,"(128, 64, 16)",0.208162,1.96e-04,1.02e-02,256,0.007914,0.000086,0.642851,0.003439
35,"(128, 64, 16)",0.151573,4.19e-04,9.52e-02,256,0.007885,0.000080,0.644918,0.003916
36,"(128, 64, 16)",0.142386,4.14e-04,8.53e-02,256,0.007887,0.000071,0.644263,0.003766
37,"(32, 16)",0.143503,4.98e-04,1.57e-02,256,0.008059,0.000067,0.635204,0.002459
38,"(128, 64, 16)",0.138145,4.03e-04,4.66e-02,256,0.007900,0.000071,0.643165,0.004130
39,"(128, 64, 16)",0.118973,4.08e-04,3.53e-02,256,0.007920,0.000098,0.642913,0.003960
40,"(256, 128, 32)",0.101066,4.10e-04,4.77e-02,256,0.007984,0.000101,0.639410,0.005258
41,"(256, 64)",0.135296,1.09e-05,9.96e-03,128,0.008112,0.000086,0.631845,0.003973
42,"(16,)",0.520563,1.33e-04,2.15e-02,256,0.009363,0.000075,0.581679,0.003107
43,"(32,)",0.155629,4.35e-04,5.02e-02,256,0.008143,0.000116,0.632584,0.004111
44,"(128, 64, 16)",0.147461,2.84e-04,9.47e-02,256,0.007893,0.000080,0.643878,0.004235
45,"(128, 64, 16)",0.136907,2.91e-04,5.76e-02,256,0.007903,0.000087,0.643459,0.004754
46,"(128, 64, 16)",0.270331,2.67e-04,2.53e-02,256,0.007911,0.000072,0.643279,0.002686
47,"(128, 64, 16)",0.101693,3.85e-04,9.44e-02,128,0.007896,0.000076,0.643344,0.002656
48,"(32, 16)",0.100536,3.77e-04,3.57e-02,128,0.008038,0.000075,0.636443,0.003423
49,"(16, 8)",0.154441,3.93e-04,1.46e-02,128,0.008367,0.000107,0.622414,0.003525
