epoch,train_loss,val_loss,spearman_rho,pred_std
1,0.07060457111067431,0.01022654704417616,0.543282663593147,0.0849073976278305
2,0.02351225611142639,0.008038724334586142,0.66212192222478,0.09003139287233353
3,0.01941853460577059,0.00769726639443434,0.6956754471142458,0.08898252993822098
4,0.01739513688151062,0.0072870711057531935,0.7142253447371147,0.09235292673110962
5,0.016396821337623414,0.007524985558513212,0.720743744758811,0.0888553261756897
6,0.015318034009322102,0.007213696405223761,0.7293751500455307,0.08901755511760712
7,0.014838613055575848,0.00689963214911794,0.7324896066655852,0.0871456190943718
8,0.01409985099952216,0.007272324586041087,0.7368380422481499,0.08811640739440918
9,0.013727710662877252,0.007082000088120819,0.7384502589594982,0.08903637528419495
10,0.013109171312843176,0.006696662621570861,0.7403169917207306,0.08997710794210434
11,0.012886257946085495,0.006860569776522401,0.7437578965978242,0.08778883516788483
12,0.012353621134093044,0.006617041318296012,0.7437185345204609,0.08855033665895462
13,0.012059165428118286,0.006521055699890969,0.7462206017371555,0.08781550824642181
14,0.011836842946550257,0.006359171720351971,0.747266681453191,0.08760044723749161
15,0.011430729638994134,0.006515805582055056,0.7500713416135926,0.08728984743356705
16,0.011127747442132276,0.006709958781854398,0.7497095770559895,0.08807723969221115
17,0.010937258071723018,0.006385605401208418,0.750899868845795,0.08795681595802307
18,0.01066216465903668,0.006176758372287111,0.7534821206291135,0.08756686747074127
19,0.010445801948545275,0.006074209626095447,0.7537685235275632,0.0887332558631897
20,0.010130738029729676,0.006134499841029831,0.7552505715268102,0.08727066963911057
21,0.009910840397626188,0.006026205321838761,0.7548929783625861,0.08811382204294205
22,0.00979667083384856,0.006141700273117265,0.7556125826794383,0.08799431473016739
23,0.009511118484605645,0.006131110323057079,0.7562034503885917,0.08659251779317856
24,0.009338657812020167,0.006011997088749028,0.7559820903470934,0.08820774406194687
25,0.009216269458878835,0.006113023571097293,0.7556011429720362,0.0878157839179039
26,0.00885716960049757,0.005990872097794571,0.7580381708776329,0.08766776323318481
27,0.008712752907516707,0.005970659135374149,0.7594426041976874,0.08881670236587524
28,0.0086578046287709,0.005960264464984652,0.7584761395206195,0.08824522793292999
29,0.008455720303512479,0.005971993804492283,0.7592658804373419,0.08756395429372787
30,0.008334025648756894,0.005859675854596461,0.759822722296238,0.08896049857139587
31,0.00821588775402555,0.005882850008574555,0.7598468446638411,0.08783037215471268
32,0.008023050595117995,0.0058542326744967284,0.7606455532329589,0.0875171571969986
33,0.007996476113995966,0.00591083606009573,0.7608318987339192,0.08686123043298721
34,0.007833383910330484,0.005841181296440251,0.7602778477977761,0.08809544891119003
35,0.007713115659745822,0.005890914344774974,0.7604840985704883,0.08788730949163437
36,0.00766789283175474,0.005899482175817694,0.7608176668497344,0.0865698978304863
37,0.00750278372110734,0.00584296476368269,0.7615563954332856,0.08742596954107285
38,0.007418380618675308,0.0058165997365249395,0.7610565267576327,0.0869535282254219
39,0.007358275539148459,0.005786849221183677,0.7620763351276596,0.08934707194566727
40,0.007321223884656856,0.00578562110594664,0.7633738710751897,0.08684467524290085
41,0.007145520669988545,0.005788781321898294,0.7632806709758292,0.08734755963087082
42,0.007108962519307559,0.005799539555986314,0.7632623153182941,0.08663959801197052
43,0.006939028324294689,0.005769176784450446,0.7643235103622223,0.0876903310418129
44,0.006899199151402353,0.005763571734818071,0.7630822682831899,0.08849340677261353
45,0.006811240277625909,0.005753935390985757,0.7633677090000359,0.08833694458007812
46,0.006727310841338705,0.005742065827670537,0.7647501147056529,0.08798592537641525
47,0.006634873482126285,0.005784188370197862,0.763632592077614,0.08661551773548126
48,0.006595801386081508,0.005745245398299556,0.764160341331167,0.08743727207183838
49,0.006482348282342656,0.005727343540609463,0.7642022423826486,0.08972299098968506
50,0.006418086834340423,0.005730450000224684,0.7642119346462161,0.08935044705867767
51,0.0063770038680895655,0.005764885760982853,0.7629315102800897,0.08824343979358673
52,0.006283396615184725,0.005727399266399455,0.7643140163596853,0.08847872912883759
53,0.0062032132939161275,0.005712517249042295,0.765830754161416,0.08972872793674469
54,0.006136919035877143,0.005732066451551718,0.7651045024385981,0.08914776891469955
55,0.006034698491964679,0.005734798480625956,0.7652650805706228,0.08834687620401382
56,0.005979579467097157,0.00571756711557559,0.7660911107558122,0.08825711160898209
57,0.0058895622534333334,0.005722005637949973,0.7659506451686263,0.08938589692115784
58,0.005849198879433325,0.0057159953322267415,0.7659128020728194,0.08960337936878204
59,0.005800881281722222,0.00571088590795086,0.7661156811897359,0.08906670659780502
60,0.005750743686196062,0.0057013506080883965,0.7663573664775792,0.0902414619922638
61,0.005662666064517641,0.005710025591782204,0.7657928252643041,0.08980178087949753
62,0.005586523724477303,0.005721178321342577,0.7663059895721062,0.08871856331825256
63,0.005545506166044771,0.005721063604581298,0.7656679878545805,0.08864255994558334
64,0.00550966865351474,0.0057281125366108,0.7656649453339713,0.08881465345621109
65,0.005404379248449665,0.005738506509750324,0.7646404157543899,0.08865806460380554
66,0.005345759159179216,0.005724390801819638,0.7664151344867739,0.08935330808162689
67,0.005316176000464052,0.005727696524430937,0.7665289145119101,0.08950456231832504
68,0.005284514942535025,0.005713515059486532,0.7655357012817383,0.09124927967786789
69,0.005193458324360323,0.005732476072468315,0.7657124732243775,0.09118339419364929
70,0.005163944214795399,0.0057367885185468145,0.7656541946936296,0.08990254253149033
71,0.005144919852240145,0.005745991650100296,0.7666892568586703,0.09005649387836456
72,0.005099379133589514,0.0057241323164827565,0.7656948311391605,0.09089648723602295
73,0.005061881798454031,0.005732657003868401,0.7656658602457936,0.09042317420244217
74,0.004991190358583266,0.005761900630606859,0.765465179560928,0.0883091390132904
75,0.0049253519955191356,0.005730613149997113,0.7655894590087013,0.09231746941804886
76,0.004896252855591029,0.0057453628621263715,0.7654860670422081,0.09140145778656006
77,0.00480447426030539,0.005762099015611511,0.7646759000586344,0.09026085585355759
78,0.0047705584054682495,0.005757806659741885,0.7655213200922676,0.09024911373853683
79,0.004739192302533452,0.005778099311536729,0.7649123270081636,0.08978039771318436
80,0.004713881335665058,0.00577161013717688,0.7648768736689027,0.0906987190246582
