epoch,train_loss,val_loss,spearman_rho,pred_std
1,0.044127057035764056,0.010349535253830006,0.5634091081907653,0.08455811440944672
2,0.013751748329235447,0.009545942209312477,0.6104629501119144,0.08528514951467514
3,0.01294020013180044,0.009137320074067814,0.6348712788002893,0.0910198912024498
4,0.011856016830437714,0.008688958489954216,0.6479872898690117,0.09341239929199219
5,0.011023763154943784,0.008751537724014942,0.6479034288158911,0.08959044516086578
6,0.010789222703211837,0.009154120731757259,0.6518048604306231,0.08854807913303375
7,0.009865158712698354,0.008663325381072663,0.6491566629155966,0.09314354509115219
8,0.009629868182871077,0.008860418461741165,0.6487326119276285,0.09383408725261688
9,0.009277536163727442,0.009279229298813542,0.6419451372347407,0.09091303497552872
10,0.008986978533367315,0.009076283741279325,0.6524705270667235,0.09442054480314255
11,0.008486068937099642,0.008739471157220588,0.6540522835201081,0.09588716179132462
12,0.008109918200307422,0.009083811862384753,0.6452602913972475,0.09217160195112228
