epoch,train_loss,val_loss,spearman_rho,pred_std
1,0.16829813796944088,0.021634002020236517,0.05324868810422983,0.08460358530282974
2,0.0461511681775252,0.015884633336601586,0.2953342217721386,0.07820088416337967
3,0.03810142136944665,0.013257995329745486,0.4335122064754645,0.08136371523141861
4,0.03300811417897542,0.011918380492548833,0.4963305407247075,0.0850234255194664
5,0.02988751936621136,0.01158261697353988,0.5336940972873354,0.08589613437652588
6,0.02873145535753833,0.011647790620604864,0.5589604472368855,0.08526182919740677
7,0.02719339767098427,0.011799152047029554,0.5772486757175757,0.08530670404434204
8,0.0256773634834422,0.01182094428327808,0.591808058780867,0.08659166842699051
9,0.024147097815242078,0.01185343351560667,0.6007384029822834,0.0854555293917656
10,0.02317472875614961,0.012200688479970608,0.6083047502356609,0.08497466146945953
11,0.022879785635405117,0.012931728495827128,0.6177603157263534,0.08432477712631226
12,0.022254749202065997,0.012254193735121486,0.62159566463246,0.08350605517625809
13,0.02147178198893865,0.012357264970257714,0.6270739547785364,0.08435658365488052
14,0.02057523627910349,0.012402271522536168,0.6294033871002084,0.08307868242263794
15,0.019991206485364173,0.013524732478530577,0.63175076462989,0.08243880420923233
16,0.0201078057024214,0.01374646180041236,0.6349000291728991,0.08267843723297119
17,0.019714963249862195,0.014011053899459917,0.6378258713077056,0.0817238911986351
