trial_id,hidden_dims,dropout_rate,lr,weight_decay,batch_size,mean_val_mse,std_val_mse,mean_val_rho,std_val_rho
0,"(16,)",0.460669,1.60e-04,1.21e-05,32,0.008879,0.000090,0.626802,0.002250
1,"(256, 64)",0.319817,5.95e-05,1.38e-02,128,0.007188,0.000046,0.689669,0.001719
2,"(128, 32)",0.510540,5.60e-05,3.08e-05,128,0.007491,0.000157,0.678798,0.004639
3,"(256, 64)",0.636896,1.04e-04,4.87e-02,256,0.007269,0.000089,0.689330,0.001970
4,"(32, 16)",0.144730,4.75e-04,1.23e-02,128,0.007368,0.000050,0.677678,0.002909
5,"(256, 64)",0.138135,3.38e-05,2.00e-04,128,0.007237,0.000060,0.684351,0.002734
6,"(128, 32)",0.115251,1.53e-05,1.34e-05,256,0.007779,0.000063,0.655457,0.001910
7,"(256, 128, 32)",0.584872,1.19e-04,3.06e-02,128,0.007781,0.000087,0.684575,0.003014
8,"(16,)",0.104171,7.37e-05,4.67e-04,256,0.008062,0.000066,0.650047,0.001782
9,"(128, 32)",0.280527,3.05e-05,1.40e-05,32,0.007254,0.000059,0.685883,0.001524
